,title,price,link
10,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹26,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
11,Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹58,990",/lenovo-ideapad-gaming-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6d2-laptop/p/itm78e98bb9abfb1?pid=COMGBNFUHREA8EJN&lid=LSTCOMGBNFUHREA8EJNCOPCZZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_d0R9GyTzacbFiuhfPG9lyleRM%2FiZjCtcQA%2BLjiuaZv09D4RKhjnFQIrVDpeJiVbUNhmRgCluOepsgMzNZxmMDw%3D%3D&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
12,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹51,890",/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
13,ASUS Vivobook 15 Ryzen 3 Dual Core AMD Ryzen™ 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ332...,"₹28,790",/asus-vivobook-15-ryzen-3-dual-core-amd-ryzen-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq332ws-laptop/p/itmc834f146e1c8c?pid=COMGENRBUHZQZZVW&lid=LSTCOMGENRBUHZQZZVWA6RBOK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMGENRBUHZQZZVW.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
14,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3-3250U - (8 GB/512 GB SSD/Windows 11 Home) M515DA-BQ332WS Thi...,"₹26,890",/asus-vivobook-15-ryzen-3-dual-core-amd-r3-3250u-8-gb-512-gb-ssd-windows-11-home-m515da-bq332ws-thin-light-laptop/p/itmc834f146e1c8c?pid=COMGGVRGGXQXHPZG&lid=LSTCOMGGVRGGXQXHPZGR4UZLN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMGGVRGGXQXHPZG.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
15,Lenovo IdeaPad 3 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated Iris Xe) 15IAU7...,"₹56,990",/lenovo-ideapad-3-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-intel-integrated-iris-xe-15iau7-gaming-laptop/p/itmb696704ad257e?pid=COMGHA9RYJRG8JE6&lid=LSTCOMGHA9RYJRG8JE6DAGDGQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=en_d0R9GyTzacbFiuhfPG9lyleRM%2FiZjCtcQA%2BLjiuaZv2Hwknxtqp3V13TG4FZlU18RyKgZG5DZ7xsS%2BImCPNqSg%3D%3D&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
16,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 81WA00Q3IN|81WA00MEIN Thin and L...,"₹27,990",/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-81wa00q3in-81wa00mein-thin-light-laptop/p/itm61227ecaffd8c?pid=COMG72M9TNRKQWQN&lid=LSTCOMG72M9TNRKQWQNFDLVMA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMG72M9TNRKQWQN.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
17,HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce ...,"₹49,890",/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMG5GZXPWMGTNWS.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
18,ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop,"₹29,890",/asus-vivobook-15-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-x515ja-laptop/p/itm46cefd99c9a5e?pid=COMGHXFZX7SGP39V&lid=LSTCOMGHXFZX7SGP39VK4PLQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMGHXFZX7SGP39V.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
19,Lenovo IdeaPad 3 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop,"₹51,990",/lenovo-ideapad-3-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm496ac469abb9e?pid=COMGFM5BHPZWTFST&lid=LSTCOMGFM5BHPZWTFSTRRCS5G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=en_d0R9GyTzacbFiuhfPG9lyleRM%2FiZjCtcQA%2BLjiuaZv3OK8Foj5vz0RVdmtUkfggWVLzDMKpP8rrBb7596pG0%2BQ%3D%3D&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
20,HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,"₹54,890",/hp-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5111tu-thin-light-laptop/p/itmbecf654716fd5?pid=COMGG63HGDTFCCGW&lid=LSTCOMGG63HGDTFCCGWLETTA9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMGG63HGDTFCCGW.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
21,MSI Modern 14 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 B5M-242IN Thin and...,"₹42,890",/msi-modern-14-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-b5m-242in-thin-light-laptop/p/itm2dadd2a6b6e61?pid=COMGGHMQUHQ6TYBC&lid=LSTCOMGGHMQUHQ6TYBCBBV3KJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMGGHMQUHQ6TYBC.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
22,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"₹30,990",/lenovo-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itmab4180a00a50b?pid=COMG9VHHUTKFZFMU&lid=LSTCOMG9VHHUTKFZFMUR7XP3V&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=7cd6c931-c5c5-47af-a6fc-56c5eb6dc70a.COMG9VHHUTKFZFMU.SEARCH&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
23,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹30,990",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=en_d0R9GyTzacbFiuhfPG9lyleRM%2FiZjCtcQA%2BLjiuaZv3N8btG%2F5yrbgRRi2elp%2FEV%2FyRhLl%2B%2BjjtdC2T7UsnJEw%3D%3D&ppt=None&ppn=None&ssid=ubgb4tvmpc0000001663996581332&qH=c06ea84a1e3dc3c6
24,ASUS Vivobook 15 Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M515DA-BQ722WS La...,"₹46,180",/asus-vivobook-15-ryzen-7-quad-core-amd-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m515da-bq722ws-laptop/p/itm5c77300ec1eb8?pid=COMGCRFYZF5TK7ZU&lid=LSTCOMGCRFYZF5TK7ZUSWT9I4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMGCRFYZF5TK7ZU.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
25,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹94,890",/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
26,APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J005KD,"₹1,02,890",/apple-macbook-air-m1-16-gb-256-gb-ssd-mac-os-big-sur-z124j005kd/p/itm5feb8febbc5d9?pid=COMG9UD4UN2ZZGDM&lid=LSTCOMG9UD4UN2ZZGDMXEQ7OR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMG9UD4UN2ZZGDM.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
27,Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹46,990",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_b5MnWfDCQKnQZLdibudzbFbXsf5f3VE5z%2BrqlD4q6hrzvMx6rEtOkcgutlcUoHYXIISCW0zrU1nCJjOd%2FRaRgA%3D%3D&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
28,ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS | X515JA-E...,"₹34,990",/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
29,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,"₹49,890",/msi-bravo-15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMGGHMQVWN6JJGC.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
30,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹38,990",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMG4Z359A4Z3MFG.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
31,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹33,990",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_b5MnWfDCQKnQZLdibudzbFbXsf5f3VE5z%2BrqlD4q6hqNHQk54w2kG14IYxep8QfML5jhQWpdvx1OYmo5B%2BTaig%3D%3D&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
32,DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light...,"₹33,690",/dell-inspiron-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-3515-thin-light-laptop/p/itm4f371fbeb2fd6?pid=COMG9NYDXVEFGPSG&lid=LSTCOMG9NYDXVEFGPSGIMQIWE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMG9NYDXVEFGPSG.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
33,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,"₹45,890",/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-14s-fq1092au-thin-light-laptop/p/itm808dc28eb54e7?pid=COMGAX8EYBZZDXY6&lid=LSTCOMGAX8EYBZZDXY6KGWIPZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMGAX8EYBZZDXY6.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
34,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM51...,"₹51,890",/asus-vivobook-k15-oled-2022-ryzen-5-hexa-core-amd-r5-5500u-16-gb-512-gb-ssd-windows-11-home-km513ua-l511ws-thin-light-laptop/p/itma65cbe0f34166?pid=COMGB6DZ87UFQXMM&lid=LSTCOMGB6DZ87UFQXMMI6QQYG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=4d2ba4fa-f5db-48ad-bf48-d4ea5bbc2bdd.COMGB6DZ87UFQXMM.SEARCH&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
35,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹54,890",/asus-tuf-gaming-a15-ryzen-5-hexa-core-amd-r5-4600h-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fa506ihrz-hn112w-laptop/p/itm20d472c5059c0?pid=COMGGJZFJRZY45WX&lid=LSTCOMGGJZFJRZY45WXD02LFG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=en_b5MnWfDCQKnQZLdibudzbFbXsf5f3VE5z%2BrqlD4q6hpdp2MznrLG1Mw6IlyS9NquDgM%2Fy%2BpZK%2BFBmxUGjT0Reg%3D%3D&ppt=None&ppn=None&ssid=f12ruubcls0000001663996584544&qH=c06ea84a1e3dc3c6
